2026-04-14 18:04:28 | INFO | crawler.main | 상세 수집 중 (3/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10486
2026-04-14 18:04:28 | INFO | crawler.main | 상세 수집 중 (4/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10484
2026-04-14 18:04:29 | INFO | crawler.main | 상세 수집 중 (5/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10485
2026-04-14 18:04:30 | INFO | crawler.main | 상세 수집 중 (6/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10483
2026-04-14 18:04:31 | INFO | crawler.main | 상세 수집 중 (7/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10478
2026-04-14 18:04:32 | INFO | crawler.main | 상세 수집 중 (8/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10470
2026-04-14 18:04:33 | INFO | crawler.main | 상세 수집 중 (9/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10467
2026-04-14 18:04:34 | INFO | crawler.main | 상세 수집 중 (10/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10466
2026-04-14 18:04:35 | INFO | crawler.main | 상세 수집 중 (11/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10465
2026-04-14 18:04:36 | INFO | crawler.main | 상세 수집 중 (12/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10441
2026-04-14 18:04:37 | INFO | crawler.main | 상세 수집 중 (13/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10461
2026-04-14 18:04:38 | INFO | crawler.main | 상세 수집 중 (14/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10459
2026-04-14 18:04:39 | INFO | crawler.main | 상세 수집 중 (15/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10458
2026-04-14 18:04:40 | INFO | crawler.main | 상세 수집 중 (16/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10457
2026-04-14 18:04:41 | INFO | crawler.main | 상세 수집 중 (17/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10454
2026-04-14 18:04:42 | INFO | crawler.main | 상세 수집 중 (18/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10453
2026-04-14 18:04:43 | INFO | crawler.main | 상세 수집 중 (19/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10450
2026-04-14 18:04:44 | INFO | crawler.main | 상세 수집 중 (20/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10448
2026-04-14 18:04:45 | INFO | crawler.main | 결과 저장 완료: /Users/parksungjin/Documents/KAU_Notice_Hub/output/kau_official_posts.json (count=20)
2026-04-14 18:23:39 | INFO | crawler.main | 공지 게시판 수집 시작: 게시판=8, 페이지=1
2026-04-14 18:23:39 | INFO | crawler.main | 게시판 수집 시작: 일반공지
2026-04-14 18:23:39 | WARNING | KAUOfficialClient | robots.txt request failed (404): https://kau.ac.kr/robots.txt
2026-04-14 18:23:39 | INFO | crawler.main | [일반공지] 목록 파싱 완료: page=1, collected=20
2026-04-14 18:23:39 | INFO | crawler.main | [일반공지] 중복 제거 후 상세 URL 수: 20
2026-04-14 18:23:39 | INFO | crawler.main | [일반공지] 상세 수집 중 (1/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10456
2026-04-14 18:23:40 | INFO | crawler.main | [일반공지] 상세 수집 중 (2/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10489
2026-04-14 18:23:41 | INFO | crawler.main | [일반공지] 상세 수집 중 (3/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10486
2026-04-14 18:23:42 | INFO | crawler.main | [일반공지] 상세 수집 중 (4/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10484
2026-04-14 18:23:44 | INFO | crawler.main | [일반공지] 상세 수집 중 (5/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10485
2026-04-14 18:23:44 | INFO | crawler.main | [일반공지] 상세 수집 중 (6/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10483
2026-04-14 18:23:45 | INFO | crawler.main | [일반공지] 상세 수집 중 (7/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10478
2026-04-14 18:23:47 | INFO | crawler.main | [일반공지] 상세 수집 중 (8/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10470
2026-04-14 18:23:47 | INFO | crawler.main | [일반공지] 상세 수집 중 (9/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10467
2026-04-14 18:23:48 | INFO | crawler.main | [일반공지] 상세 수집 중 (10/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10466
2026-04-14 18:23:50 | INFO | crawler.main | [일반공지] 상세 수집 중 (11/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10465
2026-04-14 18:23:51 | INFO | crawler.main | [일반공지] 상세 수집 중 (12/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10441
2026-04-14 18:23:52 | INFO | crawler.main | [일반공지] 상세 수집 중 (13/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10461
2026-04-14 18:23:53 | INFO | crawler.main | [일반공지] 상세 수집 중 (14/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10459
2026-04-14 18:23:54 | INFO | crawler.main | [일반공지] 상세 수집 중 (15/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10458
2026-04-14 18:23:55 | INFO | crawler.main | [일반공지] 상세 수집 중 (16/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10457
2026-04-14 18:23:56 | INFO | crawler.main | [일반공지] 상세 수집 중 (17/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10454
2026-04-14 18:23:57 | INFO | crawler.main | [일반공지] 상세 수집 중 (18/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10453
2026-04-14 18:23:58 | INFO | crawler.main | [일반공지] 상세 수집 중 (19/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10450
2026-04-14 18:23:59 | INFO | crawler.main | [일반공지] 상세 수집 중 (20/20): https://kau.ac.kr/kaulife/notice.php?searchkey=&searchvalue=&code=s1101&page=1&mode=read&seq=10448
